tag	count
<soru_cevap>	790635
</soru_cevap>	790635
<soru>	790635
</soru>	790635
<cevap>	790635
</cevap>	790635
<wikipedia>	412085
</wikipedia>	412085
<wikipedia_başlık>	412085
</wikipedia_başlık>	412085
<wikipedia_metin>	412085
</wikipedia_metin>	412085
<tarif>	5253
</tarif>	5253
<tarif_başlık>	5253
</tarif_başlık>	5253
<tarif_kategori>	5253
</tarif_kategori>	5253
<tarif_malzemeler>	5253
</tarif_malzemeler>	5253
<tarif_açıklama>	5253
</tarif_açıklama>	5253
<sep>	4552
<newline>	3477
<mask>	2634
</subject>	2
<unk>	2
<pad>	1
<cls>	1
<null>	1
<empty>	1
<rdf>	1
</rdf>	1
<triple>	1
</triple>	1
<subject>	1
<predicate>	1
</predicate>	1
<object>	1
</object>	1
<example>	1
</example>	1
<instruction>	1
</instruction>	1
<code>	1
</code>	1
<python>	1
</python>	1
<json>	1
</json>	1
<xml>	1
</xml>	1
